消费账号,接口密钥名称,消费接口,消费模型,消费金额,代金券后消费金额,输入消费数,输出消费数,总消费数,消费时间,消费结果
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,226176,0,226176,2026-03-27 23:00-24:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,109279,1294,110573,2026-03-27 23:00-24:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,158976,0,158976,2026-03-27 22:00-23:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,95669,917,96586,2026-03-27 22:00-23:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,576320,0,576320,2026-03-27 21:00-22:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,122466,2929,125395,2026-03-27 21:00-22:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.1,0.0000,0.0000,21562,0,21562,2026-03-27 20:00-21:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,17250195,0,17250195,2026-03-27 20:00-21:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,11800731,0,11800731,2026-03-27 20:00-21:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,472613,0,472613,2026-03-27 20:00-21:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,311673,44999,356672,2026-03-27 20:00-21:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,169589,45961,215550,2026-03-27 20:00-21:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.1,0.0000,0.0000,244774,0,244774,2026-03-27 19:00-20:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,26162158,0,26162158,2026-03-27 19:00-20:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,16634303,0,16634303,2026-03-27 19:00-20:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,719318,0,719318,2026-03-27 19:00-20:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,378068,71606,449674,2026-03-27 19:00-20:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,149440,85949,235389,2026-03-27 19:00-20:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,40330012,0,40330012,2026-03-27 18:00-19:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.1,0.0000,0.0000,449646,0,449646,2026-03-27 18:00-19:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,802247,0,802247,2026-03-27 18:00-19:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,19330543,0,19330543,2026-03-27 18:00-19:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,466063,132056,598119,2026-03-27 18:00-19:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,214130,114827,328957,2026-03-27 18:00-19:00,SUCCESS
主账号,coding_plan,code_plan_resource_package,coding-plan-search,0.0000,0.0000,1,0,1,2026-03-27 18:00-19:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.1,0.0000,0.0000,821263,0,821263,2026-03-27 17:00-18:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,35970587,0,35970587,2026-03-27 17:00-18:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,17885469,0,17885469,2026-03-27 17:00-18:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,686585,0,686585,2026-03-27 17:00-18:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,730336,92188,822524,2026-03-27 17:00-18:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,97148,35280,132428,2026-03-27 17:00-18:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,1489696,0,1489696,2026-03-27 16:00-17:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,4634518,9719,4644237,2026-03-27 16:00-17:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,2172896,0,2172896,2026-03-27 15:00-16:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,12109874,13542,12123416,2026-03-27 15:00-16:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,4158240,0,4158240,2026-03-27 14:00-15:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,2451141,7087,2458228,2026-03-27 14:00-15:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,80064,0,80064,2026-03-27 13:00-14:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,113894,725,114619,2026-03-27 13:00-14:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,424960,0,424960,2026-03-27 12:00-13:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,111237,2400,113637,2026-03-27 12:00-13:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.1,0.0000,0.0000,9257,0,9257,2026-03-27 11:00-12:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,154466,0,154466,2026-03-27 11:00-12:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,137039,1245,138284,2026-03-27 11:00-12:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.1,0.0000,0.0000,9106,0,9106,2026-03-27 10:00-11:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,172134,0,172134,2026-03-27 10:00-11:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,104076,1706,105782,2026-03-27 10:00-11:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,263360,0,263360,2026-03-27 09:00-10:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,83840,2126,85966,2026-03-27 09:00-10:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,672352,0,672352,2026-03-27 08:00-09:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,127942,3344,131286,2026-03-27 08:00-09:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,285472,0,285472,2026-03-27 07:00-08:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,77586,1692,79278,2026-03-27 07:00-08:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.1,0.0000,0.0000,189376,0,189376,2026-03-27 06:00-07:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.1,0.0000,0.0000,76329,1571,77900,2026-03-27 06:00-07:00,SUCCESS
