ts,elapsed_s,rss_kb,fd,threads,wal_bytes,disk_bytes,server_qps,sysbench_qps
1788031112,4,114172,14,19,2888607,2922846,,0
1788031713,605,193296,14,19,143,3617476,,0
1788032314,1206,207932,14,19,90,3814177,,0
1788032915,1807,231448,14,19,3539287,7490918,,0
1788033516,2408,240776,15,19,349,4055192,,0
1788034116,3008,250844,14,19,7381502,7415741,,0
1788034717,3609,252720,15,19,7465567,11636918,,0
1788035318,4210,254800,14,19,491803,4763555,,0
1788035919,4811,264220,14,19,3799487,8044055,,0
1788036521,5413,274412,14,19,535226,4875100,,0
1788037122,6014,286612,14,19,3849328,3883567,,0
1788037723,6615,321672,14,19,3861457,3895696,,0
1788038324,7216,333832,14,19,4502603,9527981,,0
1788038925,7817,339132,14,19,7966827,12448750,,0
1788039526,8418,339156,14,19,3913098,8282314,,0
1788040128,9020,342244,14,19,339390,4821354,,0
1788040729,9621,352864,14,19,438923,4906126,,0
1788041330,10222,352912,14,19,1387,4474116,,0
1788041932,10824,357512,15,19,3958326,8451515,,0
1788042533,11425,357516,14,19,23840406,23874645,,0
1788043135,12027,361104,15,19,7970407,12419454,,0
1788043736,12628,363496,14,19,7977894,12431047,,0
1788044337,13229,363496,14,19,698,34937,,0
1788044939,13831,363516,14,19,446,34685,,0
1788045540,14432,363524,14,19,4001627,8469703,,0
1788046142,15034,363528,14,19,268961,4822030,,0
1788046744,15636,363532,14,19,394,4485069,,0
1788047346,16237,365364,14,19,90,4493751,,0
1788047947,16839,365484,14,19,1079,4512691,,0
1788048549,17441,365484,15,19,1951,4519413,,0
1788049151,18043,365676,14,19,4058290,8588189,,0
1788049752,18644,365796,15,19,4053668,8579064,,0
1788050354,19246,365796,15,19,8097546,12618485,,0
1788050956,19848,365796,15,19,4058362,8588624,,0
1788051558,20450,368436,14,19,597173,5186413,,0
1788052160,21052,368440,14,19,4062034,4096273,,0
1788052762,21654,368452,14,19,4065478,4099717,,0
1788053364,22256,370960,14,19,4078632,4552094,,0
1788053966,22858,370968,14,19,394635,5094873,,0
1788054568,23460,370976,14,19,402,4583220,,0
1788055170,24062,371920,14,19,8204115,8238354,,0
1788055772,24664,371924,15,19,8189120,12760867,,0
1788056374,25266,374468,14,19,394,34633,,0
1788056977,25869,374468,14,19,4098544,4132783,,0
1788057579,26471,374472,15,19,4105329,8689467,,0
