1	Supplier#000000001	 N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ	27-918-335-1736	469985.04
10	Supplier#000000010	Saygah3gYWMp72i PY	34-852-489-8585	548034.27
2	Supplier#000000002	89eJ5ksX3ImxJQBvxObC,	15-679-861-2259	600700.58
3	Supplier#000000003	q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3	11-383-516-1199	341472.11
4	Supplier#000000004	Bk7ah4CK8SYQTepEmvMkkgMwg	25-843-787-7479	666605.81
5	Supplier#000000005	Gcdm2rJRzl5qlTVzc	21-151-690-3663	518823.43
6	Supplier#000000006	tQxuVm7s7CnK	24-696-997-4969	565877.05
7	Supplier#000000007	s,4TicNGB4uO6PaSqNBUq	33-990-965-2201	340605.01
8	Supplier#000000008	9Sq4bBH2FQEmaFOocY45sRTxo6yuoG	27-498-742-3860	511853.63
9	Supplier#000000009	1KhUgZegwM3ua7dsYmekYBsK	20-403-398-8662	353820.05
