|	l_orderkey	|	revenue	|	o_orderdate	|	o_shippriority	|
+------------+--------------------+-------------+----------------+
|	4791171	|	452497.4729	|	1995-02-23	|	0	|
|	4163074	|	437267.77989999996	|	1995-02-13	|	0	|
|	2845094	|	433962.5553	|	1995-03-06	|	0	|
|	4994400	|	423834.79760000005	|	1995-03-09	|	0	|
|	606274	|	419377.57649999997	|	1995-03-14	|	0	|
|	4676933	|	412072.0035	|	1995-02-07	|	0	|
|	5577601	|	407855.0202	|	1995-03-11	|	0	|
|	837895	|	406365.3223	|	1995-03-05	|	0	|
|	2456423	|	406181.0111	|	1995-03-05	|	0	|
|	3459808	|	405838.69889999996	|	1995-03-04	|	0	|
+------------+--------------------+-------------+----------------+
