|	n_name	|	o_year	|	amount	|
+----------------+--------+--------------------+
|	ALGERIA	|	1998	|	931303.2046999998	|
|	ALGERIA	|	1997	|	1975124.8046000001	|
|	ALGERIA	|	1996	|	1915743.8116999997	|
|	ALGERIA	|	1995	|	1866545.3384000002	|
|	ALGERIA	|	1994	|	1438650.0369000002	|
|	ALGERIA	|	1993	|	1826274.1401000002	|
|	ALGERIA	|	1992	|	1733990.8596999987	|
|	ARGENTINA	|	1998	|	1411123.2936000004	|
|	ARGENTINA	|	1997	|	1380409.3943000005	|
|	ARGENTINA	|	1996	|	1758128.3615999997	|
|	ARGENTINA	|	1995	|	1656227.6923999996	|
|	ARGENTINA	|	1994	|	2120567.8071	|
|	ARGENTINA	|	1993	|	1843316.8529999994	|
|	ARGENTINA	|	1992	|	1530076.7983000004	|
|	BRAZIL	|	1998	|	847752.0141999999	|
|	BRAZIL	|	1997	|	1908233.1853999998	|
|	BRAZIL	|	1996	|	1802231.3849	|
|	BRAZIL	|	1995	|	1991754.3334	|
|	BRAZIL	|	1994	|	1978576.9851000002	|
|	BRAZIL	|	1993	|	2133016.5819	|
|	BRAZIL	|	1992	|	1600957.5671999995	|
|	CANADA	|	1998	|	1041575.6277999999	|
|	CANADA	|	1997	|	2111864.8808999998	|
|	CANADA	|	1996	|	1857444.1677	|
|	CANADA	|	1995	|	1582186.7740999996	|
|	CANADA	|	1994	|	1965351.4737	|
|	CANADA	|	1993	|	2051877.2301000005	|
|	CANADA	|	1992	|	2019688.2426999996	|
|	CHINA	|	1998	|	799051.1762999999	|
|	CHINA	|	1997	|	1922197.5792999994	|
|	CHINA	|	1996	|	2513819.392800001	|
|	CHINA	|	1995	|	1997422.4739000006	|
|	CHINA	|	1994	|	1940447.5191999993	|
|	CHINA	|	1993	|	1979100.1402999996	|
|	CHINA	|	1992	|	1719655.0404000008	|
|	EGYPT	|	1998	|	924131.4604999999	|
|	EGYPT	|	1997	|	2335762.806200001	|
|	EGYPT	|	1996	|	2426303.0635	|
|	EGYPT	|	1995	|	1816116.3098000002	|
|	EGYPT	|	1994	|	1842793.6953	|
|	EGYPT	|	1993	|	2029872.7028	|
|	EGYPT	|	1992	|	1779664.4935999995	|
|	ETHIOPIA	|	1998	|	850267.4114999997	|
|	ETHIOPIA	|	1997	|	1620370.2040000004	|
|	ETHIOPIA	|	1996	|	1883907.7604000005	|
|	ETHIOPIA	|	1995	|	1764203.3619999997	|
|	ETHIOPIA	|	1994	|	1602123.7781000002	|
|	ETHIOPIA	|	1993	|	1731895.5756999997	|
|	ETHIOPIA	|	1992	|	1871949.1919999996	|
|	FRANCE	|	1998	|	1307543.6959999995	|
|	FRANCE	|	1997	|	1628655.9271	|
|	FRANCE	|	1996	|	1668537.8740000003	|
|	FRANCE	|	1995	|	1742024.1431999998	|
|	FRANCE	|	1994	|	1917495.2526000007	|
