# engine=sqlite db=/tmp/tpch_sf1_sqlite.db
#   q        rows   sha256_prefix
  1           4    c3b833607cb5
  2          20    34049f5582bc
  3          10    2dab2b7fc05b
  4           5    aa384751296d
  5           5    73d4a072f344
  6           1    a96b378545ca
  7           7    af3f7bcb01df
  8           2    515851afcf0a
  9         175    8dc77f37c374
 10          20    34f1f569841a
 11       29636    3103de8ae0d3
 12           2    dd0a33699eda
 13          42    c04b24d982a2
 14           1    1ff885aa1158
 15       10000    338e2f127797
 16       18314    cd94cc9771a4
 17           1    595003bfd069
 18          57    93890c669cdb
 19           1    cbded1211e1e
 20         172    985b249c6cba
 21         100    764daacc8185
 22           7    10ad4c38efad
