elapsed_sec,rss_mb,fd_count
0.0,201.8,7
10.4,193.9,11
20.8,191.0,11
31.2,190.6,12
41.7,191.2,11
52.1,192.7,11
62.5,190.3,11
72.9,190.1,12
83.3,192.0,11
93.7,192.5,11
104.2,189.5,11
114.6,190.0,12
125.2,190.4,12
135.6,190.6,11
146.0,190.7,11
156.4,190.3,11
166.8,190.4,11
177.2,191.3,11
187.6,191.5,11
198.0,193.2,12
208.4,194.1,11
218.8,195.0,11
229.2,196.5,11
239.6,197.4,12
250.0,198.5,11
260.5,200.1,11
270.8,206.0,11
281.2,212.6,11
291.6,214.4,11
302.1,218.1,11
312.5,222.8,11
322.9,223.1,11
333.5,223.5,11
343.9,228.9,11
354.3,236.8,11
364.8,238.7,11
375.2,243.0,12
385.6,252.7,11
396.0,255.1,11
406.4,264.1,12
416.8,265.0,11
427.2,267.8,11
437.6,269.2,11
448.1,272.4,11
458.5,272.6,11
468.9,273.6,12
479.4,283.9,12
489.8,285.1,11
500.2,285.8,11
510.6,287.9,11
521.0,292.0,11
531.5,292.4,11
541.9,296.0,11
552.3,297.5,11
562.8,300.6,11
573.2,307.9,11
583.6,311.7,11
594.1,313.7,11
