# timestamp,rss_kb,vm_kb
# SOAK started: 2026-09-12 14:08:56
# Binary: 11d96613fcde78ff145a91da2141312c12292fdc
# Port: 56739, Duration: 3600s, Log: error
14:08:56,42352,435352576
14:09:26,157664,435361296
14:09:56,235904,435365392
14:10:26,300544,435394576
14:10:56,216608,435402768
14:11:27,336832,435403312
14:11:57,302560,435370544
14:12:27,303152,435370544
14:12:57,303632,435370544
14:13:27,304144,435370544
14:13:57,304656,435370544
14:14:27,235904,435370544
14:14:57,90352,435370544
14:15:27,93152,435370544
14:15:57,92512,435370544
14:16:27,89440,435370544
14:16:57,78256,435370544
14:17:27,42960,435370544
14:17:57,45168,435370544
# monitor restart at 14:25:23
14:29:19,0,0  # manual check
